,代號,股票名稱,上市日,市場別,產業別
8238,4736,泰博,2010-12-01,上櫃,生技醫療業
8239,4741,泓瀚,2017-09-26,上櫃,化學工業
8240,4743,合一,2011-09-23,上櫃,生技醫療業
8241,4744,皇將,2018-07-12,上櫃,生技醫療業
8242,4745,合富-KY,2013-01-30,上櫃,生技醫療業
8243,4747,強生,2013-12-25,上櫃,生技醫療業
8244,4754,國碳科,2016-09-28,上櫃,化學工業
8245,4760,勤凱,2019-03-21,上櫃,其他電子業
8246,4767,誠泰科技,2018-10-29,上櫃,化學工業
8247,4804,大略-KY,2015-12-04,上櫃,觀光事業
8248,4806,昇華,2016-03-09,上櫃,文化創意業
8249,4903,聯光通,2001-05-14,上櫃,通信網路業
8250,4905,台聯電,2001-12-07,上櫃,通信網路業
8251,4907,富宇,2002-03-04,上櫃,建材營造業
8252,4908,前鼎,2002-02-27,上櫃,通信網路業
8253,4909,新復興,2002-11-28,上櫃,通信網路業
8254,4911,德英,2011-03-21,上櫃,生技醫療業
8255,4923,力士,2022-03-14,上櫃,半導體業
8256,4924,欣厚-KY,2011-10-18,上櫃,電腦及週邊設備業
8257,4931,新盛力,2019-09-17,上櫃,電腦及週邊設備業
8258,4933,友輝,2010-05-04,上櫃,光電業
8259,4939,亞電,2011-09-19,上櫃,電子零組件業
8260,4944,兆遠,2011-05-31,上櫃,光電業
8261,4945,陞達科技,2020-11-20,上櫃,半導體業
8262,4946,辣椒,2011-06-10,上櫃,文化創意業
8263,4950,牧東,2012-04-27,上櫃,其他業
8264,4953,緯軟,2014-01-08,上櫃,資訊服務業
8265,4966,譜瑞-KY,2011-09-13,上櫃,半導體業
8266,4971,IET-KY,2013-07-24,上櫃,半導體業
8267,4972,湯石照明,2013-06-17,上櫃,光電業
8268,4973,廣穎,2012-06-19,上櫃,半導體業
8269,4974,亞泰,2011-11-29,上櫃,電子零組件業
8270,4979,華星光,2011-12-12,上櫃,通信網路業
8271,4987,科誠,2012-03-21,上櫃,電腦及週邊設備業
